AHS,AHSE 0112,1,The Olin Conductorless Orchestra,Dabby,,R 6:45-9:00pm,AC318; AC305,1,25,,
AHS,AHSE 2199A,1,"Special Topics in Arts, Humanities and Social Sciences:Virtualities: Narrative Psychology",Adler,,MR 11:10-12:20pm,at Wellesley,4,5,,
AHS,AHSE 2199B,1,"Special Topics in Arts, Humanities and Social Sciences: World Creation as Cultural Commentary",Vitols,,MR 1:30-3:10pm,AC318,2,15,"Session I; features student led teaching from Ben Kahle, '16",
AHS,AHSE 2199C,1,"Special Topics in Arts, Humanities and Social Sciences: Virtualities: An Introduction to Video Gaming History and Theory",Vitols,,MR 1:30-3:10pm,AC318,2,15,Session II,
AHS,AHSE 2199E,1,"Special Topics in Arts, Humanities and Social Sciences: Designing the 21st Century Engineer: Leadership, Values, Innovation","Gentile, Martello",,T 5:30-7pm,CC209,2,15,Offered Using Experimental Grading,
AHS,AHSE 2199F,1,"Special Topics in Arts, Humanities and Social Sciences: What's Your Story? Narrative with Purpose","Epstein, Zastavker",,M 9-10:40am,AC417,2,20,Full Semester Offering; Offered Using Experimental Grading,
AHS,AHSE 3100,1,Issues in Leadership and Ethics,"Miller, R.",,R 6-8:00pm,AC326,2,8,,
AHS,AHSE 3190,1,"Arts, Humanities, Social Sciences Capstone Preparatory Workshop",Epstein,,n/a,n/a,1,20,,
AHS,AHSE 4190,1,"Arts, Humanities, Social Sciences Capstone",Epstein,,T 9:10-10:40am,AC417,4,15,,
AHS,AHSE 4190,2,"Arts, Humanities, Social Sciences Capstone",Epstein,,T 10:50-12:20pm,AC417,4,15,,
INTEGRATED,ENGR 2620 & SCI2220,1 & 1,Biomechanics,Zastavker,,MR 1:30-3:10pm,AC304,4,12,Students should choose ENGR or SCI offering for enrollment depending on the type of credit they desire to earn. Your decision at registration is not reversible.,
DSN,ENGR 2250,1,User Oriented Collaborative Design,"Hendren, Adler, Ben Ur, Slutsky, Stein, Strong",,TF 9-12:30pm,AC204; MH120,4,32,,
